abbot,51.8,0,3.14
amery,35.5,0,6
bach,10.4,0.79,1.57
baudouin,27.9,0,6
conger,3.6,0,6
cook,4.6,0,6
crosson,38.5,0,6
dibble,8.1,0,6
dotson,45.2,0,6
drygalski,7.6,0,6
fimbul,26.3,0.3,6
fris,155.4,-0.31,4
george vi,89,1.3,3.6
getz,144.9,0,6
holmes,6.7,0,6
land,3.8,0,6
larsen b,12.2,-1.57,2.5
larsen c,20.7,-1.57,3.14
larsen d,1.4,-1.57,3.14
larsen e,1.4,-1.57,3.14
mariner,2.4,0,6
mertz,7.9,0,6
muis,27.4,0,6
nansen,1.1,0,6
nickerson,4.2,0,6
ninnis,2.2,0,6
nivl,3.9,0,1.4
pig,101.2,0.79,6
prince harald,0,0,6
publications,1.5,0,6
quar,1.4,0,6
rayner,6.7,0.35,3.14
rennick,7,0,6
riiser,9.7,0,6
ross,47.7,0,6
shackleton,72.6,0,6
stange,28,0.79,2.5
sulzberger,18.2,0,6
swinburne,3.8,0,6
thwaites,97.5,0.4,2.5
totten,63.2,0,6
tracy,3,0,6
venable,19.4,0,6
vigrid,3.2,0,3.14
west,27.2,0.17,6
wilkins,18.4,1.22,1.57
